สถานพยาบาลที่ได้รับการรับรองกระบวนการคุณภาพสถานพยาบาล (HA) และขั้นก้าวหน้า (A-HA) (ข้อมูล ณ 30 พฤศจิกายน 2563),,,,,,,,,
เขต,จังหวัด,โรงพยาบาล,H Code,สังกัด,ชนิดรพ.,ขั้นปัจจุบัน,วันรับรอง,วันหมดอายุ,หมายเหตุ
1,เชียงใหม่,แม่แตง,11123,รัฐในสังกัดสป.สธ.,รพช.,3,12-มิ.ย.-20,11-มิ.ย.-21,
1,เชียงใหม่,สวนปรุง,12280,รัฐในสังกัดสธ.,กรมสุขภาพจิต,r4,22-ส.ค.-20,21-ส.ค.-21,
1,เชียงใหม่,มหาราชนครเชียงใหม่,13780,มหาวิทยาลัย,โรงเรียนแพทย์,A-HA,20-ก.ย.-19,19-ก.ย.-22,
1,เชียงใหม่,ดอยสะเก็ด,11122,รัฐในสังกัดสป.สธ.,รพช.,r2,14-ก.พ.-20,13-ก.พ.-23,
1,เชียงใหม่,เซ็นทรัลเชียงใหม่ เมโมเรียล,11995,เอกชน,สมาคมโรงพยาบาลเอกชน,2,5-มิ.ย.-20,4-มิ.ย.-21,
1,เชียงใหม่,ทั่วไปขนาดใหญ่เทพปัญญา,11994,เอกชน,สมาคมโรงพยาบาลเอกชน,2e,28-ก.พ.-17,27-ก.พ.-18,
1,เชียงใหม่,ลานนา,11982,เอกชน,สมาคมโรงพยาบาลเอกชน,r1e,8-ก.ย.-15,7-ก.ย.-18,
1,เชียงใหม่,สะเมิง,11124,รัฐในสังกัดสป.สธ.,รพช.,3,8-พ.ค.-20,7-พ.ค.-21,
1,เชียงใหม่,ดอยเต่า,11133,รัฐในสังกัดสป.สธ.,รพช.,r1,27-ส.ค.-19,26-ส.ค.-22,
1,เชียงใหม่,สถาบันพัฒนาการเด็กราชนครินทร์,13775,รัฐในสังกัดสธ.,กรมสุขภาพจิต,r3,18-ธ.ค.-18,17-ธ.ค.-21,
1,เชียงใหม่,อมก๋อย,11134,รัฐในสังกัดสป.สธ.,รพช.,3,26-มิ.ย.-20,25-มิ.ย.-21,
1,เชียงใหม่,สารภี,11135,รัฐในสังกัดสป.สธ.,รพช.,r2,21-พ.ย.-18,20-พ.ย.-21,
1,เชียงใหม่,นครพิงค์,10713,รัฐในสังกัดสป.สธ.,รพศ.,r5,21-ม.ค.-20,20-ม.ค.-23,
1,เชียงใหม่,ดารารัศมี,11978,สนง.ตำรวจแห่งชาติ,สนง.ตำรวจแห่งชาติ,2,20-ก.พ.-20,19-ก.พ.-21,
1,เชียงใหม่,เทศบาลนครเชียงใหม่,14465,อปท.,อปท.,2e,29-ส.ค.-16,28-ส.ค.-17,
1,เชียงใหม่,โรงพยาบาลทั่วไปขนาดเล็ก,11986,เอกชน,เอกชน,0,,,
1,เชียงใหม่,เทพรัตนเวชชานุกูล เฉลิมพระเกียรติ ๖๐ พรรษา,11120,รัฐในสังกัดสป.สธ.,รพช.,3,1-พ.ค.-20,30-เม.ย.-21,
1,เชียงใหม่,ค่ายกาวิละ,11508,กระทรวงกลาโหม,กรมแพทย์ทหารบก,r2,25-ส.ค.-19,24-ส.ค.-22,
